,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg
,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis
itemID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19697,1797.0,11.0,70.0,39.0,71327.0,39.69,128.18,11.32,-0.007,-0.167,1797.0,14.0,85.0,49.0,86592.0,48.19,191.94,13.85,0.065,-0.313,1797.0,1284254.0,3130558.0,2382178.0,4242485034.0,2360870.91,99597953026.8,315591.43,-1.294,2.16,1797.0,991990.0,4826866.0,991990.0,4309371447.0,2398092.07,932042801374.83,965423.64,0.771,-0.356
19698,1797.0,7.0,92.0,33.0,66537.0,37.03,204.14,14.29,0.175,0.723,1797.0,8.0,96.0,34.0,73023.0,40.64,251.89,15.87,0.362,0.635,1797.0,55060.0,5382005.0,4529483.0,7011660063.0,3901869.82,1110852553180.78,1053969.9,-1.785,4.093,1797.0,1973608.0,4503119.0,2233072.0,4539315581.0,2526052.08,281928814106.33,530969.69,1.931,3.433
19699,1797.0,38.0,189.0,107.0,196412.0,109.3,773.33,27.81,-0.184,0.18,1797.0,42.0,196.0,128.0,232079.0,129.15,1008.04,31.75,-0.425,0.322,1797.0,721991.0,2353550.0,2024659.0,3408985926.0,1897042.81,188223547084.51,433847.38,-2.035,2.365,1797.0,2276274.0,5603650.0,2276274.0,6319829357.0,3516877.77,740315887766.11,860416.11,0.969,-0.217
19700,1797.0,10.0,85.0,40.0,69154.0,38.48,191.29,13.83,0.412,0.396,1797.0,12.0,89.0,42.0,73287.0,40.78,200.97,14.18,0.421,0.389,1797.0,728260.0,16724598.0,728260.0,13168077069.0,7327811.39,17729659243590.0,4210660.19,0.346,-1.22,1797.0,2350792.0,35161520.0,2350792.0,30076429305.0,16737022.43,60660024189484.26,7788454.54,0.233,-0.416
19701,1797.0,96.0,461.0,108.0,353496.0,196.71,5056.07,71.11,0.911,1.012,1797.0,98.0,470.0,113.0,365663.0,203.49,5149.6,71.76,0.892,1.065,1797.0,190654.0,930965.0,305173.0,802975254.0,446842.1,18533461656.46,136137.66,0.849,0.608,1797.0,372880.0,2415338.0,372880.0,1852074500.0,1030648.02,198672719557.46,445727.18,1.067,0.457
19702,1797.0,44.0,319.0,174.0,280320.0,155.99,2029.15,45.05,-0.143,0.476,1797.0,54.0,340.0,202.0,310783.0,172.95,2447.45,49.47,-0.175,0.502,1797.0,95747.0,440218.0,174364.0,401702196.0,223540.45,2218495845.31,47100.91,0.852,1.896,1797.0,275399.0,4209250.0,677510.0,1927963467.0,1072878.95,725387524570.77,851696.85,2.031,3.321
19703,1797.0,5.0,36.0,11.0,23704.0,13.19,20.93,4.57,1.237,2.637,1797.0,7.0,43.0,14.0,30114.0,16.76,37.58,6.13,1.389,2.662,1797.0,274347.0,4720196.0,2610271.0,5707152107.0,3175933.28,722447105081.72,849968.88,-1.633,2.926,1797.0,8791682.0,12510639.0,8791682.0,18805537690.0,10464962.54,292848081225.63,541154.4,-0.01,2.328
19718,1797.0,5.0,103.0,8.0,54126.0,30.12,428.92,20.71,0.842,-0.237,1797.0,7.0,153.0,23.0,68793.0,38.28,581.32,24.11,0.913,0.105,1797.0,482582.0,3634084.0,707039.0,2574863916.0,1432868.07,453774598832.21,673627.94,0.636,-0.425,1797.0,156903.0,3174404.0,400268.0,1947442665.0,1083718.79,588525852156.11,767154.39,0.963,0.042
